UserID,Trial_no,ab_ad_angle,ex_angle,Method,ObjectType,Block,base_change,Size Change(%),lowerbound,upperbound,actual angle changes,duration,base_velocity,best
1,1,-35,,InterFinger,Virtual,Block1/2,20.0,,3.0,3.0,,0.154,,3.0
1,2,20,,NoHaptic,Virtual,Block1/2,2.0,,0.1974,0.1974,,0.1932,,
1,3,10,,Extension,Virtual,Block1/2,-1.0,,0.1386,0.1386,,0.1386,,
1,4,10,,InterFinger,Virtual,Block1/2,,,,,,,,
1,5,-10,-40.0,InterFinger,Virtual,Block1/2,,,,,,,,
1,6,-20,-55.0,Extension,Virtual,Block1/2,,,,,,,,
1,7,10,,NoHaptic,Virtual,Block1/2,,,,,,,,
1,8,20,,InterFinger,Virtual,Block1/2,,,,,,,,
1,9,-10,,Extension,Virtual,Block1/2,,,,,,,,
1,10,20,,Extension,Virtual,Block1/2,,,,,,,,
1,11,-10,,NoHaptic,Virtual,Block1/2,,,,,,,,
1,12,-20,,NoHaptic,Virtual,Block1/2,,,,,,,,
1,13,10,,NoHaptic,Virtual,Block1/2,,,,,,,,
1,14,20,,InterFinger,Virtual,Block1/2,,,,,,,,
1,15,-10,,NoHaptic,Virtual,Block1/2,,,,,,,,
1,16,10,,InterFinger,Virtual,Block1/2,,,,,,,,
1,17,20,,NoHaptic,Virtual,Block1/2,,,,,,,,
1,18,20,,Extension,Virtual,Block1/2,,,,,,,,
1,19,-10,,InterFinger,Virtual,Block1/2,,,,,,,,
1,20,-20,,Extension,Virtual,Block1/2,,,,,,,,
1,21,-10,,Extension,Virtual,Block1/2,,,,,,,,
1,22,-20,,NoHaptic,Virtual,Block1/2,,,,,,,,
1,23,-20,,InterFinger,Virtual,Block1/2,,,,,,,,
1,24,10,,Extension,Virtual,Block1/2,,,,,,,,
1,25,-20,,InterFinger,Virtual,Block1/2,,,,,,,,
1,26,10,,NoHaptic,Virtual,Block1/2,,,,,,,,
1,27,-10,,InterFinger,Virtual,Block1/2,,,,,,,,
1,28,10,,Extension,Virtual,Block1/2,,,,,,,,
1,29,20,,NoHaptic,Virtual,Block1/2,,,,,,,,
1,30,-20,,NoHaptic,Virtual,Block1/2,,,,,,,,
1,31,-10,,Extension,Virtual,Block1/2,,,,,,,,
1,32,20,,Extension,Virtual,Block1/2,,,,,,,,
1,33,10,,InterFinger,Virtual,Block1/2,,,,,,,,
1,34,-10,,NoHaptic,Virtual,Block1/2,,,,,,,,
1,35,20,,InterFinger,Virtual,Block1/2,,,,,,,,
1,36,-20,,Extension,Virtual,Block1/2,,,,,,,,
1,37,-20,,InterFinger,Real,Block1/2,,,,,,,,
1,38,20,,NoHaptic,Real,Block1/2,,,,,,,,
1,39,10,,Extension,Real,Block1/2,,,,,,,,
1,40,10,,InterFinger,Real,Block1/2,,,,,,,,
1,41,-10,,InterFinger,Real,Block1/2,,,,,,,,
1,42,-20,,Extension,Real,Block1/2,,,,,,,,
1,43,10,,NoHaptic,Real,Block1/2,,,,,,,,
1,44,20,,InterFinger,Real,Block1/2,,,,,,,,
1,45,-10,,Extension,Real,Block1/2,,,,,,,,
1,46,20,,Extension,Real,Block1/2,,,,,,,,
1,47,-10,,NoHaptic,Real,Block1/2,,,,,,,,
1,48,-20,,NoHaptic,Real,Block1/2,,,,,,,,
1,49,10,,NoHaptic,Real,Block1/2,,,,,,,,
1,50,20,,InterFinger,Real,Block1/2,,,,,,,,
1,51,-10,,NoHaptic,Real,Block1/2,,,,,,,,
1,52,10,,InterFinger,Real,Block1/2,,,,,,,,
1,53,20,,NoHaptic,Real,Block1/2,,,,,,,,
1,54,20,,Extension,Real,Block1/2,,,,,,,,
1,55,-10,,InterFinger,Real,Block1/2,,,,,,,,
1,56,-20,,Extension,Real,Block1/2,,,,,,,,
1,57,-10,,Extension,Real,Block1/2,,,,,,,,
1,58,-20,,NoHaptic,Real,Block1/2,,,,,,,,
1,59,-20,,InterFinger,Real,Block1/2,,,,,,,,
1,60,10,,Extension,Real,Block1/2,,,,,,,,
1,61,-20,,InterFinger,Real,Block1/2,,,,,,,,
1,62,10,,NoHaptic,Real,Block1/2,,,,,,,,
1,63,-10,,InterFinger,Real,Block1/2,,,,,,,,
1,64,10,,Extension,Real,Block1/2,,,,,,,,
1,65,20,,NoHaptic,Real,Block1/2,,,,,,,,
1,66,-20,,NoHaptic,Real,Block1/2,,,,,,,,
1,67,-10,,Extension,Real,Block1/2,,,,,,,,
1,68,20,,Extension,Real,Block1/2,,,,,,,,
1,69,10,,InterFinger,Real,Block1/2,,,,,,,,
1,70,-10,,NoHaptic,Real,Block1/2,,,,,,,,
1,71,20,,InterFinger,Real,Block1/2,,,,,,,,
1,72,-20,,Extension,Real,Block1/2,,,,,,,,
1,73,-10,,Both,Virtual,Block3,,,,,,,,
1,74,10,,Both,Virtual,Block3,,,,,,,,
1,75,20,,Both,Virtual,Block3,,,,,,,,
1,76,-20,,Both,Virtual,Block3,,,,,,,,
1,77,-10,,Both,Virtual,Block3,,,,,,,,
1,78,20,,Both,Virtual,Block3,,,,,,,,
1,79,-20,,Both,Virtual,Block3,,,,,,,,
1,80,10,,Both,Virtual,Block3,,,,,,,,
1,81,-10,,Both,Virtual,Block3,,,,,,,,
1,82,20,,Both,Virtual,Block3,,,,,,,,
1,83,10,,Both,Virtual,Block3,,,,,,,,
1,84,-20,,Both,Virtual,Block3,,,,,,,,
1,85,-10,,Both,Real,Block3,,,,,,,,
1,86,10,,Both,Real,Block3,,,,,,,,
1,87,20,,Both,Real,Block3,,,,,,,,
1,88,-20,,Both,Real,Block3,,,,,,,,
1,89,-10,,Both,Real,Block3,,,,,,,,
1,90,20,,Both,Real,Block3,,,,,,,,
1,91,-20,,Both,Real,Block3,,,,,,,,
1,92,10,,Both,Real,Block3,,,,,,,,
1,93,-10,,Both,Real,Block3,,,,,,,,
1,94,20,,Both,Real,Block3,,,,,,,,
1,95,10,,Both,Real,Block3,,,,,,,,
1,96,-20,,Both,Real,Block3,,,,,,,,
